# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-01-23 13:35:30 EST       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11023340 LOS PENASQUITOS C NR POWAY CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11023340
#            TS   parameter     statistic     Description
#          7755       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	7755_00060_00003	7755_00060_00003_cd
USGS	11023340	1984-02-19	1.20	A
USGS	11023340	1984-02-20	1.20	A
USGS	11023340	1984-02-21	1.20	A
USGS	11023340	1984-02-22	1.20	A
USGS	11023340	1984-02-23	1.20	A
USGS	11023340	1984-02-24	1.20	A
USGS	11023340	1984-02-25	1.20	A
USGS	11023340	1984-02-26	0.99	A
USGS	11023340	1984-02-27	1.00	A
USGS	11023340	1984-02-28	1.00	A
USGS	11023340	1984-02-29	1.10	A
USGS	11023340	1984-03-01	1.10	A
USGS	11023340	1984-03-02	1.10	A
USGS	11023340	1984-03-03	1.10	A
USGS	11023340	1984-03-04	1.10	A
USGS	11023340	1984-03-05	1.10	A
USGS	11023340	1984-03-06	1.10	A
USGS	11023340	1984-03-07	1.10	A
USGS	11023340	1984-03-08	1.10	A
USGS	11023340	1984-03-09	1.10	A
USGS	11023340	1984-03-10	1.10	A
USGS	11023340	1984-03-11	1.10	A
USGS	11023340	1984-03-12	1.10	A
USGS	11023340	1984-03-13	1.10	A
USGS	11023340	1984-03-14	2.00	A
USGS	11023340	1984-03-15	1.50	A
USGS	11023340	1984-03-16	1.10	A
USGS	11023340	1984-03-17	0.96	A
USGS	11023340	1984-03-18	0.92	A
USGS	11023340	1984-03-19	0.86	A
USGS	11023340	1984-03-20	0.83	A
USGS	11023340	1984-03-21	0.79	A
USGS	11023340	1984-03-22	0.79	A
USGS	11023340	1984-03-23	0.79	A
USGS	11023340	1984-03-24	0.79	A
USGS	11023340	1984-03-25	0.79	A
USGS	11023340	1984-03-26	0.82	A
USGS	11023340	1984-03-27	0.94	A
USGS	11023340	1984-03-28	0.93	A
USGS	11023340	1984-03-29	0.79	A
USGS	11023340	1984-03-30	0.77	A
USGS	11023340	1984-03-31	0.86	A
USGS	11023340	1984-04-01	1.80	A
USGS	11023340	1984-04-02	1.80	A
USGS	11023340	1984-04-03	1.00	A
USGS	11023340	1984-04-04	0.88	A
USGS	11023340	1984-04-05	0.87	A
USGS	11023340	1984-04-06	12.0	A
USGS	11023340	1984-04-07	3.20	A
USGS	11023340	1984-04-08	1.20	A
USGS	11023340	1984-04-09	0.97	A
USGS	11023340	1984-04-10	0.85	A
USGS	11023340	1984-04-11	0.75	A
USGS	11023340	1984-04-12	0.72	A
USGS	11023340	1984-04-13	0.67	A
USGS	11023340	1984-04-14	0.62	A
USGS	11023340	1984-04-15	0.56	A
USGS	11023340	1984-04-16	0.58	A
USGS	11023340	1984-04-17	0.56	A
USGS	11023340	1984-04-18	0.56	A
USGS	11023340	1984-04-19	5.60	A
USGS	11023340	1984-04-20	2.30	A
USGS	11023340	1984-04-21	0.97	A
USGS	11023340	1984-04-22	0.66	A
USGS	11023340	1984-04-23	0.57	A
USGS	11023340	1984-04-24	0.58	A
USGS	11023340	1984-04-25	0.59	A
USGS	11023340	1984-04-26	0.59	A
USGS	11023340	1984-04-27	0.56	A
USGS	11023340	1984-04-28	0.66	A
USGS	11023340	1984-04-29	0.92	A
USGS	11023340	1984-04-30	0.71	A
USGS	11023340	1984-05-01	0.65	A
USGS	11023340	1984-05-02	0.66	A
USGS	11023340	1984-05-03	0.66	A
USGS	11023340	1984-05-04	0.62	A
USGS	11023340	1984-05-05	0.58	A
USGS	11023340	1984-05-06	0.49	A
USGS	11023340	1984-05-07	0.38	A
USGS	11023340	1984-05-08	0.34	A
USGS	11023340	1984-05-09	0.27	A
USGS	11023340	1984-05-10	0.25	A
USGS	11023340	1984-05-11	0.21	A
USGS	11023340	1984-05-12	0.18	A
USGS	11023340	1984-05-13	0.40	A
USGS	11023340	1984-05-14	0.30	A
USGS	11023340	1984-05-15	0.27	A
USGS	11023340	1984-05-16	0.24	A
USGS	11023340	1984-05-17	0.24	A
USGS	11023340	1984-05-18	0.22	A
USGS	11023340	1984-05-19	0.21	A
USGS	11023340	1984-05-20	0.22	A
USGS	11023340	1984-05-21	0.22	A
USGS	11023340	1984-05-22	0.22	A
USGS	11023340	1984-05-23	0.33	A
USGS	11023340	1984-05-24	0.25	A
USGS	11023340	1984-05-25	0.23	A
USGS	11023340	1984-05-26	0.20	A
USGS	11023340	1984-05-27	0.20	A
USGS	11023340	1984-05-28	0.23	A
USGS	11023340	1984-05-29	0.20	A
USGS	11023340	1984-05-30	0.19	A
USGS	11023340	1984-05-31	0.20	A
USGS	11023340	1984-06-01	0.17	A
USGS	11023340	1984-06-02	0.17	A
USGS	11023340	1984-06-03	0.21	A
USGS	11023340	1984-06-04	0.27	A
USGS	11023340	1984-06-05	0.26	A
USGS	11023340	1984-06-06	0.31	A
USGS	11023340	1984-06-07	2.50	A
USGS	11023340	1984-06-08	1.40	A
USGS	11023340	1984-06-09	0.30	A
USGS	11023340	1984-06-10	0.22	A
USGS	11023340	1984-06-11	0.22	A
USGS	11023340	1984-06-12	0.22	A
USGS	11023340	1984-06-13	0.22	A
USGS	11023340	1984-06-14	0.25	A
USGS	11023340	1984-06-15	0.21	A
USGS	11023340	1984-06-16	0.19	A
USGS	11023340	1984-06-17	0.24	A
USGS	11023340	1984-06-18	0.25	A
USGS	11023340	1984-06-19	0.25	A
USGS	11023340	1984-06-20	0.18	A
USGS	11023340	1984-06-21	0.16	A
USGS	11023340	1984-06-22	0.21	A
USGS	11023340	1984-06-23	0.21	A
USGS	11023340	1984-06-24	0.24	A
USGS	11023340	1984-06-25	0.23	A
USGS	11023340	1984-06-26	0.19	A
USGS	11023340	1984-06-27	0.38	A
USGS	11023340	1984-06-28	0.29	A
USGS	11023340	1984-06-29	0.44	A
USGS	11023340	1984-06-30	0.48	A
USGS	11023340	1984-07-01	0.33	A
USGS	11023340	1984-07-02	0.30	A
USGS	11023340	1984-07-03	0.33	A
USGS	11023340	1984-07-04	0.33	A
USGS	11023340	1984-07-05	0.35	A
USGS	11023340	1984-07-06	0.31	A
USGS	11023340	1984-07-07	0.30	A
USGS	11023340	1984-07-08	0.28	A
USGS	11023340	1984-07-09	0.25	A
USGS	11023340	1984-07-10	0.22	A
USGS	11023340	1984-07-11	0.22	A
USGS	11023340	1984-07-12	0.22	A
USGS	11023340	1984-07-13	0.23	A
USGS	11023340	1984-07-14	0.80	A
USGS	11023340	1984-07-15	0.37	A
USGS	11023340	1984-07-16	0.28	A
USGS	11023340	1984-07-17	0.21	A
USGS	11023340	1984-07-18	0.17	A
USGS	11023340	1984-07-19	0.19	A
USGS	11023340	1984-07-20	0.25	A
USGS	11023340	1984-07-21	0.27	A
USGS	11023340	1984-07-22	0.36	A
USGS	11023340	1984-07-23	0.41	A
USGS	11023340	1984-07-24	0.34	A
USGS	11023340	1984-07-25	0.32	A
USGS	11023340	1984-07-26	0.32	A
USGS	11023340	1984-07-27	0.30	A
USGS	11023340	1984-07-28	0.33	A
USGS	11023340	1984-07-29	0.44	A
USGS	11023340	1984-07-30	0.44	A
USGS	11023340	1984-07-31	0.41	A
USGS	11023340	1984-08-01	0.39	A
USGS	11023340	1984-08-02	0.39	A
USGS	11023340	1984-08-03	0.51	A
USGS	11023340	1984-08-04	0.51	A
USGS	11023340	1984-08-05	0.54	A
USGS	11023340	1984-08-06	0.52	A
USGS	11023340	1984-08-07	0.48	A
USGS	11023340	1984-08-08	0.46	A
USGS	11023340	1984-08-09	0.47	A
USGS	11023340	1984-08-10	0.51	A
USGS	11023340	1984-08-11	0.46	A
USGS	11023340	1984-08-12	0.46	A
USGS	11023340	1984-08-13	0.43	A
USGS	11023340	1984-08-14	0.50	A
USGS	11023340	1984-08-15	0.49	A
USGS	11023340	1984-08-16	0.49	A
USGS	11023340	1984-08-17	0.62	A
USGS	11023340	1984-08-18	0.68	A
USGS	11023340	1984-08-19	0.64	A
USGS	11023340	1984-08-20	0.58	A
USGS	11023340	1984-08-21	0.55	A
USGS	11023340	1984-08-22	0.56	A
USGS	11023340	1984-08-23	0.55	A
USGS	11023340	1984-08-24	0.52	A
USGS	11023340	1984-08-25	0.55	A
USGS	11023340	1984-08-26	0.51	A
USGS	11023340	1984-08-27	0.47	A
USGS	11023340	1984-08-28	0.47	A
USGS	11023340	1984-08-29	0.50	A
USGS	11023340	1984-08-30	0.47	A
USGS	11023340	1984-08-31	0.47	A
USGS	11023340	1984-09-01	0.51	A
USGS	11023340	1984-09-02	0.49	A
USGS	11023340	1984-09-03	0.48	A
USGS	11023340	1984-09-04	0.52	A
USGS	11023340	1984-09-05	0.55	A
USGS	11023340	1984-09-06	0.55	A
USGS	11023340	1984-09-07	0.48	A
USGS	11023340	1984-09-08	0.49	A
USGS	11023340	1984-09-09	0.49	A
USGS	11023340	1984-09-10	0.53	A
USGS	11023340	1984-09-11	0.57	A
USGS	11023340	1984-09-12	0.60	A
USGS	11023340	1984-09-13	0.62	A
USGS	11023340	1984-09-14	0.58	A
USGS	11023340	1984-09-15	0.59	A
USGS	11023340	1984-09-16	2.40	A
USGS	11023340	1984-09-17	0.80	A
USGS	11023340	1984-09-18	0.62	A
USGS	11023340	1984-09-19	0.58	A
USGS	11023340	1984-09-20	0.56	A
USGS	11023340	1984-09-21	0.57	A
USGS	11023340	1984-09-22	0.70	A
USGS	11023340	1984-09-23	0.80	A
USGS	11023340	1984-09-24	0.73	A
USGS	11023340	1984-09-25	0.60	A
USGS	11023340	1984-09-26	0.59	A
USGS	11023340	1984-09-27	0.60	A
USGS	11023340	1984-09-28	0.66	A
USGS	11023340	1984-09-29	0.60	A
USGS	11023340	1984-09-30	0.59	A
USGS	11023340	1984-10-01	0.56	A
USGS	11023340	1984-10-02	0.56	A
USGS	11023340	1984-10-03	0.57	A
USGS	11023340	1984-10-04	0.62	A
USGS	11023340	1984-10-05	0.61	A
USGS	11023340	1984-10-06	0.61	A
USGS	11023340	1984-10-07	0.62	A
USGS	11023340	1984-10-08	0.59	A
USGS	11023340	1984-10-09	0.63	A
USGS	11023340	1984-10-10	0.63	A
USGS	11023340	1984-10-11	0.65	A
USGS	11023340	1984-10-12	0.82	A
USGS	11023340	1984-10-13	0.82	A
USGS	11023340	1984-10-14	0.69	A
USGS	11023340	1984-10-15	0.67	A
USGS	11023340	1984-10-16	0.67	A
USGS	11023340	1984-10-17	2.20	A
USGS	11023340	1984-10-18	1.50	A
USGS	11023340	1984-10-19	0.84	A
USGS	11023340	1984-10-20	0.80	A
USGS	11023340	1984-10-21	0.79	A
USGS	11023340	1984-10-22	0.77	A
USGS	11023340	1984-10-23	0.64	A
USGS	11023340	1984-10-24	0.65	A
USGS	11023340	1984-10-25	0.67	A
USGS	11023340	1984-10-26	0.59	A
USGS	11023340	1984-10-27	0.70	A
USGS	11023340	1984-10-28	0.75	A
USGS	11023340	1984-10-29	0.76	A
USGS	11023340	1984-10-30	0.83	A
USGS	11023340	1984-10-31	0.80	A
USGS	11023340	1984-11-01	0.79	A
USGS	11023340	1984-11-02	0.74	A
USGS	11023340	1984-11-03	0.80	A
USGS	11023340	1984-11-04	0.81	A
USGS	11023340	1984-11-05	0.79	A
USGS	11023340	1984-11-06	0.87	A
USGS	11023340	1984-11-07	0.85	A
USGS	11023340	1984-11-08	5.60	A
USGS	11023340	1984-11-09	4.50	A
USGS	11023340	1984-11-10	1.60	A
USGS	11023340	1984-11-11	1.20	A
USGS	11023340	1984-11-12	1.00	A
USGS	11023340	1984-11-13	1.10	A
USGS	11023340	1984-11-14	1.10	A
USGS	11023340	1984-11-15	1.00	A
USGS	11023340	1984-11-16	1.20	A
USGS	11023340	1984-11-17	1.90	A
USGS	11023340	1984-11-18	1.60	A
USGS	11023340	1984-11-19	1.80	A
USGS	11023340	1984-11-20	1.50	A
USGS	11023340	1984-11-21	3.00	A
USGS	11023340	1984-11-22	4.10	A
USGS	11023340	1984-11-23	37.0	A
USGS	11023340	1984-11-24	33.0	A
USGS	11023340	1984-11-25	57.0	A
USGS	11023340	1984-11-26	3.10	A
USGS	11023340	1984-11-27	1.70	A
USGS	11023340	1984-11-28	1.40	A
USGS	11023340	1984-11-29	1.30	A
USGS	11023340	1984-11-30	1.20	A
USGS	11023340	1984-12-01	1.10	A
USGS	11023340	1984-12-02	1.10	A
USGS	11023340	1984-12-03	8.50	A
USGS	11023340	1984-12-04	6.50	A
USGS	11023340	1984-12-05	1.70	A
USGS	11023340	1984-12-06	1.30	A
USGS	11023340	1984-12-07	1.90	A
USGS	11023340	1984-12-08	18.0	A
USGS	11023340	1984-12-09	2.70	A
USGS	11023340	1984-12-10	2.00	A
USGS	11023340	1984-12-11	134	A
USGS	11023340	1984-12-12	18.0	A
USGS	11023340	1984-12-13	3.50	A
USGS	11023340	1984-12-14	2.20	A
USGS	11023340	1984-12-15	1.80	A
USGS	11023340	1984-12-16	69.0	A
USGS	11023340	1984-12-17	5.60	A
USGS	11023340	1984-12-18	79.0	A
USGS	11023340	1984-12-19	117	A
USGS	11023340	1984-12-20	42.0	A
USGS	11023340	1984-12-21	6.10	A
USGS	11023340	1984-12-22	4.40	A
USGS	11023340	1984-12-23	3.20	A
USGS	11023340	1984-12-24	2.70	A
USGS	11023340	1984-12-25	2.50	A
USGS	11023340	1984-12-26	2.70	A
USGS	11023340	1984-12-27	236	A
USGS	11023340	1984-12-28	76.0	A
USGS	11023340	1984-12-29	18.0	A
USGS	11023340	1984-12-30	9.70	A
USGS	11023340	1984-12-31	7.20	A
USGS	11023340	1985-01-01	5.90	A
USGS	11023340	1985-01-02	5.00	A
USGS	11023340	1985-01-03	4.40	A
USGS	11023340	1985-01-04	3.70	A
USGS	11023340	1985-01-05	3.40	A
USGS	11023340	1985-01-06	3.20	A
USGS	11023340	1985-01-07	4.90	A
USGS	11023340	1985-01-08	9.30	A
USGS	11023340	1985-01-09	4.30	A
USGS	11023340	1985-01-10	3.20	A
USGS	11023340	1985-01-11	3.00	A
USGS	11023340	1985-01-12	2.70	A
USGS	11023340	1985-01-13	2.50	A
USGS	11023340	1985-01-14	2.50	A
USGS	11023340	1985-01-15	2.40	A
USGS	11023340	1985-01-16	2.30	A
USGS	11023340	1985-01-17	2.40	A
USGS	11023340	1985-01-18	2.30	A
USGS	11023340	1985-01-19	2.30	A
USGS	11023340	1985-01-20	2.50	A
USGS	11023340	1985-01-21	2.50	A
USGS	11023340	1985-01-22	2.50	A
USGS	11023340	1985-01-23	2.50	A
USGS	11023340	1985-01-24	2.50	A
USGS	11023340	1985-01-25	2.40	A
USGS	11023340	1985-01-26	2.70	A
USGS	11023340	1985-01-27	2.70	A
USGS	11023340	1985-01-28	3.60	A
USGS	11023340	1985-01-29	7.30	A
USGS	11023340	1985-01-30	3.20	A
USGS	11023340	1985-01-31	2.60	A
USGS	11023340	1985-02-01	2.30	A
USGS	11023340	1985-02-02	22.0	A
USGS	11023340	1985-02-03	6.60	A
USGS	11023340	1985-02-04	13.0	A
USGS	11023340	1985-02-05	4.90	A
USGS	11023340	1985-02-06	2.70	A
USGS	11023340	1985-02-07	2.30	A
USGS	11023340	1985-02-08	2.30	A
USGS	11023340	1985-02-09	13.0	A
USGS	11023340	1985-02-10	6.70	A
USGS	11023340	1985-02-11	3.00	A
USGS	11023340	1985-02-12	3.00	A
USGS	11023340	1985-02-13	2.90	A
USGS	11023340	1985-02-14	2.40	A
USGS	11023340	1985-02-15	2.20	A
USGS	11023340	1985-02-16	2.50	A
USGS	11023340	1985-02-17	3.00	A
USGS	11023340	1985-02-18	3.10	A
USGS	11023340	1985-02-19	3.50	A
USGS	11023340	1985-02-20	4.00	A
USGS	11023340	1985-02-21	5.00	A
USGS	11023340	1985-02-22	2.20	A
USGS	11023340	1985-02-23	1.80	A
USGS	11023340	1985-02-24	1.80	A
USGS	11023340	1985-02-25	1.70	A
USGS	11023340	1985-02-26	1.70	A
USGS	11023340	1985-02-27	1.60	A
USGS	11023340	1985-02-28	1.60	A
USGS	11023340	1985-03-01	1.70	A
USGS	11023340	1985-03-02	2.90	A
USGS	11023340	1985-03-03	9.90	A
USGS	11023340	1985-03-04	3.30	A
USGS	11023340	1985-03-05	2.50	A
USGS	11023340	1985-03-06	2.30	A
USGS	11023340	1985-03-07	2.10	A
USGS	11023340	1985-03-08	2.10	A
USGS	11023340	1985-03-09	2.20	A
USGS	11023340	1985-03-10	2.20	A
USGS	11023340	1985-03-11	2.10	A
USGS	11023340	1985-03-12	2.20	A
USGS	11023340	1985-03-13	2.10	A
USGS	11023340	1985-03-14	2.10	A
USGS	11023340	1985-03-15	2.50	A
USGS	11023340	1985-03-16	2.40	A
USGS	11023340	1985-03-17	2.20	A
USGS	11023340	1985-03-18	2.90	A
USGS	11023340	1985-03-19	4.30	A
USGS	11023340	1985-03-20	3.20	A
USGS	11023340	1985-03-21	2.80	A
USGS	11023340	1985-03-22	2.50	A
USGS	11023340	1985-03-23	2.60	A
USGS	11023340	1985-03-24	2.30	A
USGS	11023340	1985-03-25	2.20	A
USGS	11023340	1985-03-26	2.00	A
USGS	11023340	1985-03-27	6.10	A
USGS	11023340	1985-03-28	26.0	A
USGS	11023340	1985-03-29	6.40	A
USGS	11023340	1985-03-30	3.00	A
USGS	11023340	1985-03-31	2.50	A
USGS	11023340	1985-04-01	2.20	A
USGS	11023340	1985-04-02	1.70	A
USGS	11023340	1985-04-03	1.60	A
USGS	11023340	1985-04-04	1.70	A
USGS	11023340	1985-04-05	1.50	A
USGS	11023340	1985-04-06	1.60	A
USGS	11023340	1985-04-07	1.50	A
USGS	11023340	1985-04-08	1.40	A
USGS	11023340	1985-04-09	1.80	A
USGS	11023340	1985-04-10	1.50	A
USGS	11023340	1985-04-11	1.60	A
USGS	11023340	1985-04-12	1.40	A
USGS	11023340	1985-04-13	1.50	A
USGS	11023340	1985-04-14	1.70	A
USGS	11023340	1985-04-15	2.00	A
USGS	11023340	1985-04-16	1.50	A
USGS	11023340	1985-04-17	1.40	A
USGS	11023340	1985-04-18	3.30	A
USGS	11023340	1985-04-19	2.50	A
USGS	11023340	1985-04-20	1.50	A
USGS	11023340	1985-04-21	1.70	A
USGS	11023340	1985-04-22	3.60	A
USGS	11023340	1985-04-23	2.00	A
USGS	11023340	1985-04-24	1.40	A
USGS	11023340	1985-04-25	1.20	A
USGS	11023340	1985-04-26	1.20	A
USGS	11023340	1985-04-27	1.10	A
USGS	11023340	1985-04-28	0.88	A
USGS	11023340	1985-04-29	0.92	A
USGS	11023340	1985-04-30	0.92	A
USGS	11023340	1985-05-01	1.00	A
USGS	11023340	1985-05-02	0.97	A
USGS	11023340	1985-05-03	0.86	A
USGS	11023340	1985-05-04	0.85	A
USGS	11023340	1985-05-05	0.81	A
USGS	11023340	1985-05-06	0.78	A
USGS	11023340	1985-05-07	0.72	A
USGS	11023340	1985-05-08	0.71	A
USGS	11023340	1985-05-09	0.83	A
USGS	11023340	1985-05-10	1.10	A
USGS	11023340	1985-05-11	0.82	A
USGS	11023340	1985-05-12	0.75	A
USGS	11023340	1985-05-13	0.74	A
USGS	11023340	1985-05-14	0.72	A
USGS	11023340	1985-05-15	0.69	A
USGS	11023340	1985-05-16	0.67	A
USGS	11023340	1985-05-17	0.73	A
USGS	11023340	1985-05-18	0.75	A
USGS	11023340	1985-05-19	0.70	A
USGS	11023340	1985-05-20	0.74	A
USGS	11023340	1985-05-21	0.88	A
USGS	11023340	1985-05-22	0.68	A
USGS	11023340	1985-05-23	0.65	A
USGS	11023340	1985-05-24	0.68	A
USGS	11023340	1985-05-25	0.69	A
USGS	11023340	1985-05-26	0.71	A
USGS	11023340	1985-05-27	0.63	A
USGS	11023340	1985-05-28	0.57	A
USGS	11023340	1985-05-29	0.61	A
USGS	11023340	1985-05-30	0.58	A
USGS	11023340	1985-05-31	0.62	A
USGS	11023340	1985-06-01	0.63	A
USGS	11023340	1985-06-02	0.62	A
USGS	11023340	1985-06-03	0.62	A
USGS	11023340	1985-06-04	0.62	A
USGS	11023340	1985-06-05	0.61	A
USGS	11023340	1985-06-06	0.59	A
USGS	11023340	1985-06-07	0.64	A
USGS	11023340	1985-06-08	0.60	A
USGS	11023340	1985-06-09	0.60	A
USGS	11023340	1985-06-10	0.59	A
USGS	11023340	1985-06-11	0.71	A
USGS	11023340	1985-06-12	0.66	A
USGS	11023340	1985-06-13	0.66	A
USGS	11023340	1985-06-14	0.60	A
USGS	11023340	1985-06-15	0.59	A
USGS	11023340	1985-06-16	0.57	A
USGS	11023340	1985-06-17	0.53	A
USGS	11023340	1985-06-18	0.50	A
USGS	11023340	1985-06-19	0.59	A
USGS	11023340	1985-06-20	0.59	A
USGS	11023340	1985-06-21	0.54	A
USGS	11023340	1985-06-22	0.61	A
USGS	11023340	1985-06-23	0.58	A
USGS	11023340	1985-06-24	0.60	A
USGS	11023340	1985-06-25	0.59	A
USGS	11023340	1985-06-26	0.57	A
USGS	11023340	1985-06-27	0.55	A
USGS	11023340	1985-06-28	0.54	A
USGS	11023340	1985-06-29	0.55	A
USGS	11023340	1985-06-30	0.50	A
USGS	11023340	1985-07-01	0.45	A
USGS	11023340	1985-07-02	0.44	A
USGS	11023340	1985-07-03	0.42	A
USGS	11023340	1985-07-04	0.60	A
USGS	11023340	1985-07-05	0.54	A
USGS	11023340	1985-07-06	0.55	A
USGS	11023340	1985-07-07	0.56	A
USGS	11023340	1985-07-08	0.54	A
USGS	11023340	1985-07-09	0.53	A
USGS	11023340	1985-07-10	0.49	A
USGS	11023340	1985-07-11	0.47	A
USGS	11023340	1985-07-12	0.44	A
USGS	11023340	1985-07-13	0.53	A
USGS	11023340	1985-07-14	0.49	A
USGS	11023340	1985-07-15	0.47	A
USGS	11023340	1985-07-16	0.52	A
USGS	11023340	1985-07-17	0.49	A
USGS	11023340	1985-07-18	0.51	A
USGS	11023340	1985-07-19	0.52	A
USGS	11023340	1985-07-20	0.49	A
USGS	11023340	1985-07-21	0.44	A
USGS	11023340	1985-07-22	0.44	A
USGS	11023340	1985-07-23	0.47	A
USGS	11023340	1985-07-24	0.44	A
USGS	11023340	1985-07-25	0.48	A
USGS	11023340	1985-07-26	0.47	A
USGS	11023340	1985-07-27	0.45	A
USGS	11023340	1985-07-28	0.46	A
USGS	11023340	1985-07-29	0.43	A
USGS	11023340	1985-07-30	0.43	A
USGS	11023340	1985-07-31	0.60	A
USGS	11023340	1985-08-01	0.54	A
USGS	11023340	1985-08-02	0.45	A
USGS	11023340	1985-08-03	0.47	A
USGS	11023340	1985-08-04	0.44	A
USGS	11023340	1985-08-05	0.44	A
USGS	11023340	1985-08-06	0.40	A
USGS	11023340	1985-08-07	0.37	A
USGS	11023340	1985-08-08	0.38	A
USGS	11023340	1985-08-09	0.43	A
USGS	11023340	1985-08-10	0.42	A
USGS	11023340	1985-08-11	0.40	A
USGS	11023340	1985-08-12	0.38	A
USGS	11023340	1985-08-13	0.40	A
USGS	11023340	1985-08-14	0.39	A
USGS	11023340	1985-08-15	0.40	A
USGS	11023340	1985-08-16	0.44	A
USGS	11023340	1985-08-17	0.44	A
USGS	11023340	1985-08-18	0.42	A
USGS	11023340	1985-08-19	0.40	A
USGS	11023340	1985-08-20	0.41	A
USGS	11023340	1985-08-21	0.39	A
USGS	11023340	1985-08-22	0.39	A
USGS	11023340	1985-08-23	0.43	A
USGS	11023340	1985-08-24	0.39	A
USGS	11023340	1985-08-25	0.42	A
USGS	11023340	1985-08-26	0.37	A
USGS	11023340	1985-08-27	0.35	A
USGS	11023340	1985-08-28	0.36	A
USGS	11023340	1985-08-29	0.35	A
USGS	11023340	1985-08-30	0.37	A
USGS	11023340	1985-08-31	0.53	A
USGS	11023340	1985-09-01	0.69	A
USGS	11023340	1985-09-02	0.56	A
USGS	11023340	1985-09-03	0.60	A
USGS	11023340	1985-09-04	0.60	A
USGS	11023340	1985-09-05	0.55	A
USGS	11023340	1985-09-06	0.50	A
